Tokens sorted by index with attention values (scaled to sum 350):
Position: 132, Token: 部, Attention Received: 0.6064
Position: 133, Token: 被, Attention Received: 0.9423
Position: 134, Token: 烟, Attention Received: 1.0516
Position: 135, Token: 熏, Attention Received: 1.2185
Position: 136, Token: 黑, Attention Received: 0.8662
Position: 137, Token: 。, Attention Received: 2.3895
Position: 138, Token: 被, Attention Received: 0.6903
Position: 139, Token: 告, Attention Received: 0.7304
Position: 140, Token: 人, Attention Received: 0.9408
Position: 141, Token: 担, Attention Received: 1.9571
Position: 142, Token: 心, Attention Received: 1.2306
Position: 143, Token: 烧, Attention Received: 2.1206
Position: 144, Token: 到, Attention Received: 0.8125
Position: 145, Token: 二, Attention Received: 0.7520
Position: 146, Token: 数, Attention Received: 0.9962
Position: 147, Token: 住, Attention Received: 1.0070
Position: 148, Token: 户, Attention Received: 0.9890
Position: 149, Token: ，, Attention Received: 1.6252
Position: 150, Token: 使, Attention Received: 1.2475
Position: 151, Token: 用, Attention Received: 1.0252
Position: 152, Token: 灭, Attention Received: 1.2795
Position: 153, Token: 火, Attention Received: 1.8548
Position: 154, Token: 器, Attention Received: 1.1262
Position: 155, Token: 将, Attention Received: 1.1908
Position: 156, Token: 火, Attention Received: 2.5877
Position: 157, Token: 扑, Attention Received: 2.1265
Position: 158, Token: 灭, Attention Received: 1.2775
Position: 159, Token: 并, Attention Received: 0.9953
Position: 160, Token: 拨, Attention Received: 1.2711
Position: 161, Token: 打, Attention Received: 0.8895
Position: 162, Token: 110, Attention Received: 1.8242
Position: 163, Token: 报, Attention Received: 1.4208
Position: 164, Token: 警, Attention Received: 1.3483
Position: 165, Token: 。, Attention Received: 2.4753
Position: 166, Token: 经, Attention Received: 0.8345
Position: 167, Token: 鉴, Attention Received: 1.1161
Position: 168, Token: 定, Attention Received: 1.0241
Position: 169, Token: ，, Attention Received: 1.8368
Position: 170, Token: 该, Attention Received: 1.0077
Position: 171, Token: 公, Attention Received: 1.2455
Position: 172, Token: 司, Attention Received: 1.2624
Position: 173, Token: 售, Attention Received: 1.3044
Position: 174, Token: 楼, Attention Received: 1.4273
Position: 175, Token: 部, Attention Received: 1.2488
Position: 176, Token: 楼, Attention Received: 1.4079
Position: 177, Token: 盘, Attention Received: 1.3158
Position: 178, Token: 模, Attention Received: 1.7288
Position: 179, Token: 型, Attention Received: 1.3512
Position: 180, Token: 被, Attention Received: 1.6459
Position: 181, Token: 烧, Attention Received: 3.4180
Position: 182, Token: 经, Attention Received: 1.4862
Position: 183, Token: 济, Attention Received: 1.5110
Position: 184, Token: 损, Attention Received: 1.6952
Position: 185, Token: 失, Attention Received: 2.1861
Position: 186, Token: 1980, Attention Received: 1.9637
Position: 187, Token: #, Attention Received: 1.8214
Position: 188, Token: #, Attention Received: 1.5155
Position: 189, Token: 0, Attention Received: 1.3969
Position: 190, Token: 元, Attention Received: 1.9439
Position: 191, Token: 。, Attention Received: 2.7355
Position: 192, Token: 指, Attention Received: 1.2853
Position: 193, Token: 控, Attention Received: 1.3624
Position: 194, Token: 认, Attention Received: 1.3599
Position: 195, Token: 为, Attention Received: 1.4304
Position: 196, Token: ，, Attention Received: 1.8657
Position: 197, Token: 被, Attention Received: 0.7750
Position: 198, Token: 告, Attention Received: 0.7703
Position: 199, Token: 人, Attention Received: 0.8954
Position: 200, Token: 钱, Attention Received: 0.7595
Position: 201, Token: 某, Attention Received: 0.7406
Position: 202, Token: 采, Attention Received: 1.6606
Position: 203, Token: 用, Attention Received: 1.1612
Position: 204, Token: 放, Attention Received: 7.2004
Position: 205, Token: 火, Attention Received: 6.7983
Position: 206, Token: 的, Attention Received: 1.1637
Position: 207, Token: 方, Attention Received: 1.4049
Position: 208, Token: 法, Attention Received: 1.0004
Position: 209, Token: ，, Attention Received: 2.6922
Position: 210, Token: 故, Attention Received: 6.0591
Position: 211, Token: 意, Attention Received: 3.3581
Position: 212, Token: 毁, Attention Received: 9.3644
Position: 213, Token: 坏, Attention Received: 6.3575
Position: 214, Token: 公, Attention Received: 4.1177
Position: 215, Token: 私, Attention Received: 3.3391
Position: 216, Token: 财, Attention Received: 2.6555
Position: 217, Token: 物, Attention Received: 2.2236
Position: 218, Token: ，, Attention Received: 2.2892
Position: 219, Token: 数, Attention Received: 1.9883
Position: 220, Token: 额, Attention Received: 1.8916
Position: 221, Token: 较, Attention Received: 1.3574
